d_A-1:O2prime-G8:N1,d_A-1:O2prime-A10:N6,d_A-1:O2prime-A38:N6,d_A-1:O2prime-G+1:O1P,d_A-1:O2prime-G+1:O2P,d_G+1:O1P-G8:N2,d_G+1:O2P-G8:N2,A-1_puckering_pseudorot,IAA,d_A-1:O2prime-G+1:P,tau2,Time
4.589153125974641,2.746726797233446,4.56785430333272,4.8926685715365785,3.461441723287638,5.193282562653653,2.7413477221663096,8.738524819706365,104.5253623877129,3.628841966067436,30.868977695336287,0.0
4.104276409747052,4.137572213220231,5.434806925700281,5.050339717942592,5.204211573253456,7.375642699110899,6.592783769721166,356.0756948165949,94.67733523956782,4.398709543058798,26.382785060894417,50.0
5.504032831933935,5.7757813610077156,3.274015041060248,4.863137816887358,3.521165840454595,8.458895913603696,5.9563813124034555,31.00131993415309,94.55705499627784,3.6094764709490668,28.482531939944558,100.0
4.313627953286215,3.48405112723242,4.13963724316846,4.628886733330137,3.5548559215952507,5.488410065010474,3.1762978428912767,19.241729742103047,80.23417675234079,3.357593188867043,33.82623327423458,150.0
4.666165463420548,5.476985814478944,2.839523888199001,4.910287450780019,3.6561594153235037,8.31378268880522,5.784581709215718,25.489215210709478,87.48231615438603,3.6296856250753398,33.35606130528018,200.0
6.210765938501481,3.0243367983085263,3.4493682926665548,5.194505052750147,3.9236492098846503,7.783036935566714,5.434649035091759,44.10100705867033,107.53649890817064,4.004897848602878,25.03259371113634,250.0
3.6392567305110184,3.596515107460195,4.521640334794929,5.053916934901864,3.7404384276773546,5.767050519719396,3.7390507917423266,6.804971746792068,86.59271073553407,3.7322767394170713,35.501786536438075,300.0
4.7799355439345295,2.945723753186012,4.359050638006627,5.229349649172533,4.431637939045645,5.285398399846863,2.9263484511860027,24.144824710324965,99.22971583903539,4.1567983907236465,31.72769024890565,350.0
4.581584476098065,2.743208225755767,3.9157761643760467,5.304300796749889,4.530640496940725,5.433176020349517,3.2780639382771466,3.0322935484611246,85.20261746012002,4.174423553138998,29.197121025960513,400.0
3.0538018397816504,7.108332732799738,6.20728083314006,4.116321149688049,2.591891216583544,7.153260476579479,4.781684292827227,35.34232936987943,141.05539750275491,3.3120084721009326,33.397391529619206,450.0
4.400525203272912,2.7206784473947794,4.225278472035595,5.093976576760827,4.431751377969506,5.02380583263919,2.799003512628878,17.05618258429949,98.17647631625633,4.022635226358058,31.000811777208757,500.0
5.3445749984319235,2.7189870461687544,4.012058792884111,3.7644940554434347,2.857204766950629,2.8890107410815213,3.8946349328005976,38.75173841286729,150.99444441383466,3.2996678628237786,35.490457326380955,550.0
4.932455936121639,2.828889778320136,2.901277049766011,4.602889480729217,2.914618763264364,4.746736572385972,2.6337202045198604,352.48562607138047,77.66868630481505,3.204135647968506,38.39246476319074,600.0
4.633210964719859,4.541990141089084,3.0977613320297106,4.729158869079222,3.762874094710972,8.39753993879582,6.556669794130883,27.00239544595694,65.63148229904891,3.435959311877093,31.995921060849398,650.0
6.351859590659508,5.299538814572048,2.566104204745371,4.905811981051615,3.4339630569798265,8.558792058457659,6.0215101951144705,23.586674226179706,85.96574244198024,3.5300428394330985,31.73307616626121,700.0
7.8712474499152165,5.615633342241053,3.0032978305833704,5.009374350263642,3.4004279828730852,9.31729879338479,6.871925992288205,11.09899084163524,87.68675087022542,3.5977100416071575,32.47707889598085,750.0
4.6316331698258875,3.7187899188921354,3.541635993815527,5.159858694148374,4.432935086278162,8.78401872579236,6.4369076902057145,10.81450057264659,101.46617901955422,4.12355645151547,30.267667508915192,800.0
7.912832826524209,4.0388234814834005,2.846856286615399,5.0303485005295645,3.5473227814292763,8.961591681792601,6.726188244900346,8.950102165642383,99.81359597268583,3.7063501634218365,31.83978301088558,850.0
3.222575730260206,6.7529014958454034,6.095971170650086,4.3288240529469135,2.9060141327928366,7.14581856162763,4.965493160354749,31.4676033314835,132.49607752730688,3.3827038712337565,26.470143018254547,900.0
5.18281853755783,5.852541631348381,3.310922224586188,4.767071755348302,3.1512856681175836,7.99971127025169,5.41518314415557,10.238033669116708,96.147772641839,3.437718218801953,25.591066705910052,950.0
7.924103249658424,2.9934246633696104,3.0554350748820336,5.130662069491711,4.10761244871014,8.230741715401084,5.790652396860325,22.568499344284753,101.75881602854551,3.964802489371874,33.537231458669694,1000.0
5.252068727758058,3.2891777176806665,2.8015877480099216,4.524755615263668,4.159765309868961,6.5663606906200425,4.494587451610463,343.1286000089287,65.8023167785494,3.4184518709166443,32.08802840213875,1050.0
5.254962644354549,4.02055933437325,4.57716054458221,5.127993560467094,4.213540671149853,8.697807166640295,6.672230130782322,356.5344509522039,95.8926250419477,3.9969111899934555,25.23950516632722,1100.0
4.495432183118153,2.878195895608208,2.6242131877955943,4.745796761050616,2.9884612270548807,3.870114152543225,2.7815275725533124,356.5570109778647,120.61276154952331,3.6020836350722356,38.01394818331685,1150.0
